index	prediction
0	0
1	1
2	0
3	0
4	0
5	0
6	1
7	0
8	1
9	1
10	1
11	1
12	1
13	1
14	0
15	0
16	0
17	1
18	0
19	1
20	1
21	1
22	0
23	1
24	1
25	1
26	0
27	0
28	1
29	1
30	1
31	1
32	1
33	1
34	0
35	0
36	1
37	1
38	0
39	1
40	1
41	0
42	0
43	0
44	0
45	0
46	1
47	1
48	0
49	1
50	1
51	0
52	0
53	0
54	0
55	0
56	1
57	0
58	1
59	1
60	0
61	0
62	1
63	1
64	0
65	1
66	0
67	0
68	0
69	1
70	1
71	0
72	0
73	1
74	1
75	1
76	1
77	0
78	0
79	0
80	0
81	0
82	0
83	1
84	1
85	1
86	0
87	1
88	1
89	0
90	0
91	1
92	1
93	0
94	0
95	0
96	0
97	0
98	1
99	1
100	0
101	0
102	0
103	1
104	0
105	1
106	0
107	0
108	1
109	0
110	1
111	1
112	1
113	1
114	1
115	0
116	1
117	0
118	1
119	0
120	1
121	0
122	0
123	1
124	0
125	0
126	1
127	1
128	0
129	1
130	0
131	0
132	1
133	1
134	0
135	0
136	0
137	0
138	1
139	0
140	1
141	1
142	1
143	0
144	0
145	1
146	0
147	1
148	0
149	1
150	0
151	1
152	0
153	0
154	1
155	0
156	1
157	1
158	1
159	1
160	1
161	0
162	1
163	0
164	1
165	1
166	1
167	0
168	1
169	1
170	1
171	1
172	0
173	0
174	0
175	1
176	1
177	1
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	1
186	0
187	0
188	1
189	1
190	1
191	1
192	0
193	1
194	1
195	0
196	1
197	1
198	1
199	0
200	1
201	1
202	1
203	0
204	0
205	0
206	1
207	0
208	0
209	1
210	0
211	1
212	1
213	1
214	0
215	1
216	0
217	0
218	0
219	0
220	1
221	1
222	1
223	1
224	0
225	1
226	1
227	1
228	1
229	0
230	1
231	0
232	1
233	1
234	0
235	1
236	0
237	0
238	0
239	1
240	0
241	0
242	0
243	0
244	1
245	1
246	0
247	0
248	0
249	0
250	0
251	1
252	1
253	0
254	1
255	1
256	1
257	1
258	1
259	0
260	0
261	1
262	1
263	0
264	1
265	0
266	1
267	0
268	1
269	0
270	1
271	1
272	0
273	0
274	0
275	0
276	1
277	1
278	0
279	0
280	0
281	0
282	1
283	1
284	1
285	0
286	1
287	0
288	1
289	1
290	0
291	1
292	0
293	0
294	1
295	0
296	1
297	0
298	0
299	1
300	0
301	0
302	1
303	0
304	0
305	1
306	1
307	0
308	1
309	1
310	0
311	1
312	1
313	0
314	1
315	1
316	1
317	1
318	0
319	0
320	1
321	1
322	1
323	0
324	0
325	0
326	1
327	1
328	0
329	1
330	0
331	1
332	0
333	0
334	1
335	0
336	1
337	1
338	1
339	0
340	1
341	0
342	1
343	0
344	1
345	1
346	1
347	1
348	0
349	1
350	0
351	1
352	0
353	1
354	1
355	0
356	1
357	1
358	1
359	0
360	0
361	1
362	1
363	1
364	0
365	1
366	1
367	1
368	1
369	0
370	1
371	0
372	1
373	1
374	0
375	1
376	1
377	1
378	1
379	1
380	1
381	1
382	0
383	1
384	1
385	0
386	0
387	0
388	0
389	1
390	1
391	0
392	0
393	1
394	1
395	1
396	1
397	1
398	0
399	0
400	1
401	1
402	1
403	0
404	0
405	1
406	1
407	1
408	1
409	1
410	0
411	0
412	1
413	1
414	0
415	0
416	1
417	1
418	1
419	0
420	1
421	1
422	1
423	0
424	1
425	1
426	0
427	0
428	1
429	0
430	0
431	1
432	0
433	1
434	0
435	1
436	1
437	1
438	1
439	0
440	0
441	1
442	0
443	1
444	1
445	1
446	1
447	1
448	0
449	0
450	0
451	1
452	1
453	1
454	0
455	0
456	0
457	1
458	0
459	1
460	1
461	1
462	0
463	0
464	1
465	0
466	1
467	1
468	1
469	1
470	0
471	1
472	0
473	1
474	0
475	1
476	1
477	0
478	0
479	1
480	1
481	0
482	1
483	0
484	0
485	0
486	0
487	1
488	0
489	0
490	0
491	0
492	0
493	1
494	0
495	0
496	0
497	1
498	1
499	0
500	1
501	1
502	1
503	1
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	1
514	0
515	1
516	0
517	0
518	1
519	1
520	1
521	1
522	0
523	0
524	1
525	0
526	0
527	0
528	0
529	1
530	0
531	1
532	0
533	1
534	1
535	0
536	1
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	1
545	0
546	0
547	1
548	1
549	1
550	1
551	0
552	0
553	0
554	0
555	1
556	0
557	0
558	0
559	1
560	0
561	1
562	0
563	0
564	1
565	0
566	1
567	1
568	0
569	0
570	1
571	0
572	1
573	1
574	1
575	1
576	1
577	0
578	1
579	0
580	0
581	1
582	1
583	1
584	1
585	1
586	0
587	0
588	0
589	0
590	0
591	1
592	1
593	0
594	1
595	1
596	1
597	0
598	1
599	0
600	1
601	0
602	0
603	0
604	0
605	1
606	0
607	1
608	0
609	1
610	1
611	0
612	0
613	1
614	0
615	0
616	0
617	0
618	1
619	0
620	0
621	0
622	1
623	0
624	1
625	1
626	0
627	0
628	0
629	0
630	1
631	0
632	1
633	1
634	1
635	1
636	1
637	0
638	0
639	0
640	1
641	1
642	0
643	0
644	0
645	0
646	0
647	0
648	1
649	0
650	0
651	1
652	0
653	0
654	1
655	0
656	0
657	0
658	1
659	1
660	1
661	1
662	0
663	0
664	1
665	0
666	0
667	0
668	0
669	0
670	1
671	0
672	1
673	0
674	1
675	1
676	1
677	0
678	1
679	0
680	0
681	0
682	1
683	0
684	0
685	0
686	0
687	0
688	1
689	0
690	0
691	1
692	1
693	0
694	0
695	1
696	0
697	1
698	1
699	0
700	1
701	1
702	1
703	1
704	0
705	0
706	1
707	1
708	0
709	1
710	0
711	1
712	0
713	1
714	1
715	0
716	0
717	1
718	1
719	1
720	1
721	1
722	1
723	1
724	0
725	0
726	1
727	0
728	0
729	1
730	1
731	0
732	1
733	1
734	0
735	1
736	0
737	0
738	0
739	0
740	0
741	1
742	1
743	1
744	1
745	0
746	0
747	0
748	1
749	0
750	0
751	0
752	1
753	0
754	1
755	0
756	1
757	1
758	1
759	0
760	1
761	1
762	1
763	1
764	0
765	0
766	1
767	0
768	0
769	0
770	0
771	0
772	0
773	1
774	0
775	1
776	0
777	1
778	1
779	1
780	1
781	0
782	1
783	0
784	0
785	1
786	1
787	1
788	1
789	1
790	1
791	1
792	0
793	0
794	0
795	1
796	1
797	1
798	0
799	0
800	1
801	0
802	1
803	0
804	1
805	1
806	0
807	1
808	0
809	0
810	1
811	0
812	0
813	0
814	0
815	0
816	0
817	0
818	0
819	0
820	0
821	1
822	1
823	0
824	0
825	0
826	0
827	0
828	1
829	0
830	0
831	1
832	0
833	1
834	1
835	1
836	0
837	1
838	0
839	0
840	1
841	0
842	1
843	1
844	1
845	1
846	0
847	0
848	1
849	1
850	1
851	0
852	1
853	1
854	1
855	0
856	1
857	0
858	0
859	1
860	0
861	0
862	1
863	0
864	1
865	1
866	0
867	0
868	0
869	1
870	1
871	1
872	0
873	0
874	1
875	1
876	1
877	1
878	0
879	1
880	0
881	1
882	1
883	0
884	1
885	0
886	1
887	1
888	0
889	1
890	1
891	0
892	0
893	0
894	0
895	0
896	0
897	0
898	0
899	1
900	0
901	0
902	0
903	1
904	0
905	1
906	0
907	1
908	0
909	0
910	0
911	0
912	1
913	1
914	1
915	1
916	1
917	0
918	0
919	1
920	1
921	0
922	1
923	1
924	1
925	0
926	1
927	1
928	0
929	0
930	0
931	1
932	1
933	1
934	1
935	1
936	1
937	0
938	1
939	0
940	0
941	0
942	1
943	1
944	0
945	1
946	0
947	0
948	1
949	1
950	0
951	1
952	0
953	0
954	0
955	0
956	0
957	0
958	0
959	1
960	0
961	1
962	0
963	1
964	1
965	0
966	0
967	0
968	0
969	0
970	1
971	1
972	0
973	0
974	0
975	1
976	0
977	1
978	1
979	1
980	0
981	0
982	0
983	0
984	1
985	0
986	0
987	1
988	0
989	1
990	0
991	0
992	1
993	1
994	0
995	0
996	1
997	1
998	1
999	0
1000	1
1001	0
1002	0
1003	0
1004	0
1005	0
1006	0
1007	0
1008	0
1009	0
1010	1
1011	1
1012	1
1013	0
1014	0
1015	0
1016	1
1017	0
1018	1
1019	1
1020	1
1021	1
1022	0
1023	0
1024	1
1025	0
1026	1
1027	1
1028	0
1029	1
1030	1
1031	1
1032	1
1033	1
1034	1
1035	0
1036	1
1037	1
1038	1
1039	0
1040	0
1041	0
1042	0
1043	1
1044	0
1045	1
1046	1
1047	0
1048	1
1049	1
1050	0
1051	0
1052	1
1053	1
1054	1
1055	1
1056	0
1057	0
1058	0
1059	1
1060	0
